male,date,temp_target,round,total_songs,motif_count,average_motif,average_duration,average_song_rate,average_motif_rate,chamber,temp_mean,temp_median,humidity_mean
T235,2022-05-09,40,3,7,38,2.857142857142857,3,2.3333333333333335,0.9523809523809524,4,38.96995,40,22.58333
T235,2022-06-24,40,2,23,77,2.6956521739130435,12.695652173912725,1.811643835616484,0.212328767123293,3,38.8636865,39.5,22.88134658
T235,2022-06-26,27,2,0,425,0,NA,NA,NA,3,30.7291667,31,36.2308114
T235,2022-06-28,44,2,27,101,3.037037037037037,2.962962962962963,9.1125,1.0250000000000001,3,42.5469095,44,20.26655629
T235,2022-06-30,35,2,57,223,2.9298245614035086,3.947368421052645,14.43999999999995,0.7422222222222196,3,33.8664459,34,29.19922737
T235,2022-07-02,42,2,116,384,2.6724137931034484,21.672413793103605,5.352426412092244,0.12330946698488376,3,39.9740044,41,24.95022124
T236,2022-01-24,40,1,21,90,3.9047619047619047,3,7,1.3015873015873016,4,NA,NA,NA
T236,2022-01-26,35,1,50,187,3.32,2.7,18.51851851851852,1.2296296296296294,4,34.35215,34.5,11.69892
T236,2022-01-28,44,1,55,204,3.254545454545455,2.8,19.642857142857142,1.1623376623376624,4,44.90323,45,11.10484
T236,2022-01-30,27,1,37,126,3,2.675675675675676,13.828282828282827,1.121212121212121,4,25.90591,26,11.54032
T236,2022-02-01,42,1,44,151,3.0681818181818183,2.5454545454545454,17.285714285714285,1.205357142857143,4,38.42473,38.5,10
T236,2022-04-11,40,3,42,176,3.3571428571428568,2.4761904761904763,16.96153846153846,1.3557692307692306,4,38.7035519,40,15.71721
T236,2022-04-13,40,3,48,231,4.5625,3.666666666666667,13.09090909090909,1.2443181818181817,4,38.6694,39.5,24.0929
T236,2022-04-15,40,3,35,196,4.457142857142857,3.7714285714285714,9.280303030303031,1.1818181818181819,4,38.19399,39,21.26913
T236,2022-06-06,27,2,43,198,4.395348837209303,-163.58139534883728,-0.2628660790446402,-0.026869491043502978,4,26.1539735,26,41.71081678
T236,2022-06-08,42,2,9,62,3.666666666666667,3.3333333333333335,2.6999999999999997,1.1,4,39.9845475,40.5,26.37251656
T236,2022-06-10,44,2,9,48,4.222222222222222,3.888888888888889,2.3142857142857145,1.0857142857142859,4,41.2759382,42.5,22.04801325
T236,2022-06-12,35,2,34,201,5.411764705882353,234.2352941176472,0.1451531893520843,0.02310396785534906,4,33.4111479,33.5,30.92660044
T236,2022-06-14,40,2,36,225,5.833333333333334,41.638888888888935,0.8645763842561698,0.14009339559706457,4,38.2891832,38.5,32.61699779
T237,2022-02-23,40,1,16,NA,4.1875,4.0625,3.9384615384615387,1.0307692307692307,2,40.83333,41,20.37634
T237,2022-02-25,44,1,19,NA,3.8947368421052633,3.526315789473684,5.388059701492537,1.1044776119402986,2,45.16667,45.5,16.58871
T237,2022-02-27,35,1,23,NA,3.869565217391304,4.130434782608695,5.568421052631579,0.9368421052631579,2,35.80376,36,17.84409
T237,2022-03-01,27,1,36,NA,3.2777777777777777,3.1944444444444446,11.269565217391303,1.026086956521739,2,27.31989,27.5,20.89785
T237,2022-03-03,42,1,21,NA,3.4761904761904763,3.4285714285714284,6.125,1.013888888888889,2,42.57527,43,13.85484
T237,2022-05-24,40,3,40,180,3.9,3.425,11.678832116788321,1.1386861313868613,2,38.41803,40,24.12432
T237,2022-05-26,40,3,32,122,3.3125,3.21875,9.941747572815533,1.029126213592233,2,38.79098,40.5,25.56011
T237,2022-05-28,40,3,33,128,3.757575757575758,3.8484848484848486,8.574803149606298,0.9763779527559056,2,38.02186,40,25.29918
T237,2022-06-23,35,2,29,117,3.5172413793103448,3.413793103448276,8.494949494949495,1.0303030303030303,6,33.7372506,34,31.1075388
T237,2022-06-25,42,2,20,86,3.55,3.9,5.128205128205129,0.9102564102564102,6,40.4761905,41,24.94850498
T237,2022-06-27,27,2,36,179,4,-205.97222222222211,-0.17478084962913024,-0.019420094403236693,6,29.4619205,29.5,38.01821192
T237,2022-06-29,44,2,16,92,4.75,-419.0625,-0.038180462341536166,-0.011334824757643549,6,42.3411633,43,21.86577181
T237,2022-07-01,40,2,39,151,3.8205128205128203,96.10256410256407,0.40581643543223067,0.03975453575240129,6,38.2262693,38.5,26.44370861
T243,2022-01-24,35,1,0,0,0,NA,NA,NA,6,34.77419,35,14.30376
T243,2022-01-26,44,1,6,35,5.166666666666667,4.5,1.3333333333333333,1.1481481481481481,6,44.76075,45,9.153226
T243,2022-01-28,42,1,24,118,4.666666666666667,4.166666666666667,5.76,1.1199999999999999,6,44.76075,45,9.153226
T243,2022-01-30,40,1,37,197,4.45945945945946,4.162162162162162,8.88961038961039,1.0714285714285714,6,41.29032,41,7.989247
T243,2022-02-01,27,1,24,88,3.5416666666666665,NA,NA,NA,6,26.55108,26.5,16.5
T243,2022-04-11,40,3,48,289,4.958333333333334,4.3125,11.130434782608695,1.1497584541062804,6,38.75546448,40,16.43169
T243,2022-04-13,40,3,54,292,4.944444444444445,5.703703703703704,9.467532467532466,0.8668831168831168,6,38.47951,39.5,25.05874
T243,2022-04-15,40,3,44,229,4.931818181818182,5.795454545454545,7.592156862745099,0.8509803921568628,6,37.53415,39,22.84016
T243,2022-07-12,40,2,27,138,4.703703703703704,4.185185185185185,6.451327433628319,1.1238938053097347,2,39.3647903,40,24.3714128
T243,2022-07-14,44,2,21,119,4.857142857142857,4.619047619047619,4.54639175257732,1.0515463917525774,2,42.4873068,44,21.73565121
T243,2022-07-16,42,2,50,207,3.44,41.580000000000034,1.2025012025012016,0.08273208273208266,2,41.25883,42.5,22.35761589
T243,2022-07-18,35,2,14,90,4.142857142857143,539.7142857142857,0.02593965060878772,0.0076760190577024896,2,34.0121413,34.5,29.93708609
T243,2022-07-20,27,2,12,59,3.416666666666667,-596.4166666666666,-0.020120162079083417,-0.0057286572586279175,2,28.7450331,29,38.92384106
T244,2022-02-03,42,1,14,62,4.066666666666666,NA,NA,NA,6,42.61559,42.5,16.16667
T244,2022-02-05,40,1,8,42,4.444444444444445,NA,NA,NA,6,41.24731,41,10.04839
T244,2022-02-07,35,1,8,38,3.888888888888889,NA,NA,NA,6,35.35753,35.5,13.29839
